#question; answer; questionLocale; answerLocale
közlekedési eszköz ;vervoersmiddel ;hu;nl
étterem ;restaurant ;hu;nl
év ;jaar ;hu;nl
minden évben ;elk jaar ;hu;nl
falu ;dorp ;hu;nl
Egy kis faluban lakom. ;Ik woon in een klein dorp. ;hu;nl
fejlődik ;zich ontwikkelen ;hu;nl
A falu gyorsan fejlődik. ;Het dorp ontwikkelt zich snel. ;hu;nl
fél ;half ;hu;nl
Fél nyolc van. ;Het is half acht. ;hu;nl
felmérés ;onderzoek ;hu;nl
a felmérés szerint ;volgens het onderzoek ;hu;nl
felület ;oppervlakte ;hu;nl
fényképezőgép ;fototoestel ;hu;nl
fesztivál ;festival ;hu;nl
film ;film ;hu;nl
fjord ;fjord ;hu;nl
focimeccs ;voetbalwedstrijd ;hu;nl
Focimeccsre megyek. ;Ik ga naar een voetbalwedstrijd. ;hu;nl
fodrász ;kapper (kapster) ;hu;nl
Fodrászhoz megyek. ;Ik ga naar de kapper. ;hu;nl
fogorvos ;tandarts ;hu;nl
folyó ;rivier ;hu;nl
fordul ;afslaan ;hu;nl
balra/jobbra fordul ;links/rechts afslaan ;hu;nl
forgalmas ;druk (straat) ;hu;nl
forgalmas utca ;Het is een drukke straat. ;hu;nl
forrás ;bron ;hu;nl
gép ;machine ;hu;nl
gótikus ;Gotisch ;hu;nl
gótikus templom ;Gotische kerk ;hu;nl
gyakorlat ;oefening ;hu;nl
gyalog ;lopend ;hu;nl
Gyalog megyek haza. ;Ik loop naar huis. ;hu;nl
gyalogos ;voetganger ;hu;nl
gyógyfürdő ;thermaal bad ;hu;nl
gyógyszertár ;apotheek ;hu;nl
gyors ;snel ;hu;nl
gyönyörű ;prachtig ;hu;nl
hangulatos ;sfeervol, gezellig ;hu;nl
hangulatos kocsma ;een gezellige kroeg ;hu;nl
hánykor? ;Hoe laat? ;hu;nl
Hánykor kezdődik a film? ;Hoe laat begint de film? ;hu;nl
háromdimenziós ;driedimensioneel ;hu;nl
háromdimenziós tárgy ;3D voorwerp;hu;nl
háromnegyed ;driekwart ;hu;nl
Háromnegyed négy van. ;Het is kwart voor vier. ;hu;nl
haza ;naar huis ;hu;nl
Hazamegyek. ;Ik ga naar huis. ;hu;nl
hegy ;berg ;hu;nl
Magyarországon nincsenek magas;In Hongarije zijn er geen hoge bergen. ;hu;nl
hegyek. ;hu;nl;
hely ;plaats, plek / ruimte ;hu;nl
helyek a városban ;plaatsen in de stad ;hu;nl
helyzet ;situatie ;hu;nl
A politikai helyzet stabil. ;De politieke situatie is stabiel. ;hu;nl
hétköznap ;doordeweeks ;hu;nl
Hétköznap nem sportolok. ;Ik sport niet doordeweeks. ;hu;nl
hétfő ;maandag ;hu;nl
Hétfőn úszni megyek. ;Maandag ga ik zwemmen. ;hu;nl
hétvége ;weekend ;hu;nl
hétvégén ;in het weekend ;hu;nl
holnap ;morgen ;hu;nl
Mit csinálsz holnap? ;Wat doe je morgen? ;hu;nl
holnapután ;overmorgen ;hu;nl
honnan?/honnét? ;Waarvandaan? ;hu;nl
hozzá ;Naar toe ;hu;nl
hova?/hová? ;Waar naar toe? ;hu;nl
ide ;hier(heen) (richting) ;hu;nl
Ide jövök. ;Ik kom hier. ;hu;nl
idevalósi ;inwoner van deze streek/plaats ;hu;nl
Nem vagyok idevalósi. ;Ik kom hier niet vandaan. ;hu;nl
innen/innét ;hiervandaan ;hu;nl
Az iskola innen két megálló. ;De school is twee bushaltes hiervandaan. ;hu;nl
intézmény ;instituut ;hu;nl
iszik vmit ;iets drinken ;hu;nl
A kávézóban inni és enni lehet. ;In het café kan je/men eten en drinken. ;hu;nl
jár vhova ;ergens naar toe gaan (regelmatig) ;hu;nl
Egyetemre járok. ;Ik zit op de universiteit. ;hu;nl
Busszal járok a városban. ;Naar de stad ga ik (altijd) met de bus. ;hu;nl
játszik ;spelen ;hu;nl
A játszótéren lehet játszani. ;Op de speeltuin kan je/men spelen. ;hu;nl
játszótér ;speeltuin ;hu;nl
jog ;recht ;hu;nl
emberi jogok ;mensenrechten ;hu;nl
jön vhonnan ;ergens vandaan komen ;hu;nl
Moziból jövök. ;Ik kom van de bioscoop. ;hu;nl
kap vmit ;iets krijgen ;hu;nl
A szó ragot kap. ;Het woord krijgt een uitgang. ;hu;nl
kár ;jammer ;hu;nl
kávészünet ;koffiepauze ;hu;nl
kávézó ;café ;hu;nl
kedd ;dinsdag ;hu;nl
kedden ;op dinsdag ;hu;nl
kedvelt (= népszerű) ;geliefd (= populair) ;hu;nl
kedvelt kocsma, kedvelt színész ;een populaire kroeg, een geliefde acteur ;hu;nl
kerékpár (= bicikli) ;fiets ;hu;nl
kereszteződés ;kruising ;hu;nl
kezdődik ;beginnen ;hu;nl
Mikor kezdődik az előadás? ;Wanneer begint de voorstelling/lezing? ;hu;nl
kiállítás ;tentoonstelling ;hu;nl
Kiállításon vagyok. ;Ik ben bij een tentoonstelling. ;hu;nl
kint ;buiten ;hu;nl
Kint vagyok. ;Ik ben buiten. ;hu;nl
kisváros ;kleine stad ;hu;nl
Egy kisvárosban lakom. ;Ik woon in een kleine stad. ;hu;nl
kitűnő ;uitstekend ;hu;nl
A városomban vannak kitűnő ;Er zijn uitstekende restaurants in mijn stad. ;hu;nl
éttermek. ;hu;nl;
kocsi (= autó) ;auto ;hu;nl
Kocsival vagyok. ;Ik ben met de auto. ;hu;nl
kocsma;kroeg ;hu;nl
kollégium ;kostschool ;hu;nl
koncentrál vmire ;op iets concentreren ;hu;nl
konditerem ;sportschool ;hu;nl
konferencia ;conferentie ;hu;nl
Konferenciára megyek. ;Ik ga naar een conferentie. ;hu;nl
kórház ;ziekenhuis ;hu;nl
kozmetikus ;schoonheidsspecialist ;hu;nl
Kozmetikusnál vagyok. ;Ik ben bij de schoonheidsspecialist. ;hu;nl
könyvesbolt ;boekenwinkel ;hu;nl
könyvtár ;bibliotheek ;hu;nl
környék ;buurt ;hu;nl
Csendes környéken lakom. ;Ik woon in een rustige buurt. ;hu;nl
közbiztonság ;openbare veiligheid ;hu;nl
A városomban jó a közbiztonság. ;De openbare veiligheid in mijn stad is goed. ;hu;nl
közel ;dichtbij ;hu;nl
A szálloda közel van. Van a közelben posta? ;Het hotel is dichtbij. Is er een postkantoor in de buurt? ;hu;nl
közlekedés ;verkeer ;hu;nl
A városomban nem túl jó a közlekedés. ;Het verkeer in mijn stad is niet al te goed. ;hu;nl
közlekedési ;verkeers-, vervoers- ;hu;nl
közlekedési eszköz ;vervoersmiddel ;hu;nl
közlekedik vmivel ;deelneemen aan het verkeer, rijden / een vervoersmiddel nemen ;hu;nl
A városban busszal közlekedem. ;In de stad reis ik met de bus. ;hu;nl
központ ;centrum ;hu;nl
A központban sok jó kocsma van. ;In het centrum zijn er veel goede kroegen. ;hu;nl
kritérium ;criterium ;hu;nl
kulturális ;cultureel ;hu;nl
kulturális programok ;culturele programma’s ;hu;nl
lakik vhol ;ergens wonen ;hu;nl
A Maros utcában lakom. ;Ik woon in de Maros straat. ;hu;nl
lakóház ;woonhuis ;hu;nl
lassú ;langzaam ;hu;nl
A busz olcsó, de lassú. ;De bus is goedkoop maar (wel) langzaam. ;hu;nl
lehet ;mogelijk ;hu;nl
A könyvtárban lehet olvasni. ;Het is mogelijk om in de bibliotheek te lezen. ;hu;nl
lehetőség ;mogelijkheid ;hu;nl
sportolási lehetőség ;sportmogelijkheid ;hu;nl
ma ;vandaag ;hu;nl
marad vhol ;ergens (ver)blijven ;hu;nl
Otthon maradok. ;Ik blijf thuis. ;hu;nl
meddig? ;Tot hoe laat? ;hu;nl
Meddig tart a koncert? ;Tot hoe laat duurt de concert? ;hu;nl
megálló ;halte ;hu;nl
megy vhova ;ergens naar toe gaan ;hu;nl
Hova mész? ;Waar ga je naar toe? ;hu;nl
menza ;mensa ;hu;nl
A menzán ebédelek. ;Ik lunch in de mensa. ;hu;nl
messze ;ver weg ;hu;nl
Messze van a vár? ;Is de burcht ver weg? ;hu;nl
metró ;metro ;hu;nl
metrójegy ;metrokaartje ;hu;nl
metropolisz ;metropool ;hu;nl
mettől meddig? ;Vanaf/tot hoe laat? ;hu;nl
Mettől meddig tart a szeminárium? ;Vanaf/tot hoe laat duurt het werkcollege? ;hu;nl
mikor? ;Wanneer? Hoe laat? ;hu;nl
mind a ketten (= mindketten) ;allebei (= beiden) ;hu;nl
Mind a ketten megyünk színházba. ;Wij gaan allebei naar het theater. ;hu;nl
mindenhol ;overal ;hu;nl
Mindenhol vannak boltok. ;Er zijn overal winkels. ;hu;nl
mindenhonnan/mindenhonnét ;overal vandaan ;hu;nl
Mindenhonnan jönnek turisták. ;De toeristen komen overal vandaan. ;hu;nl
mindenhova/mindenhová ;overal naar toe ;hu;nl
Mindenhova busszal megyek. ;Ik ga overal met de bus naar toe. ;hu;nl
mindjárt ;zo, bijna ;hu;nl
Mindjárt jön Péter. ;Péter komt zo. ;hu;nl
mit? ;Wat? ;hu;nl
Mit csinálsz? ;Wat doe je? ;hu;nl
mivel? ;Waarmee? ;hu;nl
Mivel közlekedsz a városban? ;Welke vervoersmiddel gebruik je in de stad? ;hu;nl
mondat ;zin ;hu;nl
mondatrész ;zinsdeel ;hu;nl
motor ;motor ;hu;nl
mozi ;bioscoop ;hu;nl
munkaidő ;werktijd ;hu;nl
A munkaidőm ötig tart. ;Mijn werktijd is tot vijf uur. ;hu;nl
múzeum ;museum ;hu;nl
művész ;artiest, kunstenaar ;hu;nl
nagyváros ;grote stad ;hu;nl
nála ;bij hem/haar ;hu;nl
Anna otthon van. Nála ebédelek. ;Anna is thuis. Ik lunch bij haar. ;hu;nl
nap ;dag ;hu;nl
Milyen nap van ma? ;Welke dag is het vandaag? ;hu;nl
napszak ;dagdeel ;hu;nl
negyed ;kwart ;hu;nl
Negyed négy van. ;Het is kwart over drie. ;hu;nl
negyedóra ;kwartier ;hu;nl
A múzeum gyalog negyedóra. ;Het museum is een kwartier lopen hiervandaan. ;hu;nl
németóra ;Duitse les ;hu;nl
Németórára megyek. ;Ik ga naar de Duitse les. ;hu;nl
népszerű (= kedvelt) ;populair (= geliefd) ;hu;nl
névmás ;voornaamwoord ;hu;nl
nyaral vhol ;ergens op vakantie zijn ;hu;nl
Minden évben Kanadában nyaralok. ;Ik ga elk jaar naar Canada op vakantie. ;hu;nl
nyelvóra ;taalles ;hu;nl
Nyelvórára megyek. ;Ik ga naar een taalles. ;hu;nl
nyelvtan ;grammatica ;hu;nl
nyitva van ;open zijn ;hu;nl
A múzeum nyitva van. ;Het museum is open. ;hu;nl
nyugat ;west ;hu;nl
Nyugat-Magyarország ;West-Hongarije ;hu;nl
óceán ;oceaan ;hu;nl
oda ;daar naar toe ;hu;nl
olimpia ;Olympia ;hu;nl
olimpiai ;Olympisch ;hu;nl
olimpiai stadion ;Olympische stadion ;hu;nl
onnan/onnét ;daarvandaan ;hu;nl
pályaudvar (= vasútállomás) ;station (= spoorwegstation) ;hu;nl
A pályaudvarra megyek. ;Ik ga naar het station. ;hu;nl
park ;park ;hu;nl
A parkban vagyok. ;Ik ben in het park. ;hu;nl
parkoló ;parkeerplaats ;hu;nl
A kocsim a parkolóban van. ;Mijn auto is op de parkeerplaats. ;hu;nl
pedig ;en, maar, namelijk ;hu;nl
Délelőtt a piacra megyek, este pedig a barátnőmhöz. ;In de ochtend ga ik naar de markt en ’s avonds naar mijn vriendin. ;hu;nl
például ;bijvoorbeeld ;hu;nl
péntek ;vrijdag ;hu;nl
pénteken ;op vrijdag ;hu;nl
piac ;markt ;hu;nl
A piacon vásárolok. ;Ik doe boodschappen op de markt. ;hu;nl
pihen ;rusten ;hu;nl
Egész nap csak pihenek. ;Ik rust de hele dag. ;hu;nl
piszkos ;vuil ;hu;nl
A városom elég piszkos. ;Mijn stad is best vuil. ;hu;nl
politika ;politiek ;hu;nl
politikai ;politieke ;hu;nl
politikai stabilitás ;politieke stabiliteit ;hu;nl
posta ;postkantoor ;hu;nl
A postára megyek. ;Ik ga naar het postkantoor. ;hu;nl
praktikus ;praktisch ;hu;nl
A bicikli praktikus. ;Een fiets is praktisch. ;hu;nl
program ;program ;hu;nl
kulturális program ;culturele program ;hu;nl
rag ;uitgang (voor een woord) ;hu;nl
ragozás ;vervoeging ;hu;nl
reggel;ochtend ;hu;nl
Reggel van. ;Het is ochtend. ;hu;nl
Reggel uszodába megyek. ;Ik ga in de ochtend naar het zwembad. ;hu;nl
rendelő ;spreekkamer ;hu;nl
rendezvény ;evenement ;hu;nl
rendőrség ;politie, politiebureau ;hu;nl
A rendőrségre megyek. ;Ik ga naar de politiebureau. ;hu;nl
rendszeres ;regelmatig ;hu;nl
Rendszeresen sportolok. ;Ik sport regelmatig. ;hu;nl
repülőtér ;luchthaven ;hu;nl
A repülőtéren vagyok. ;Ik ben op de luchthaven. ;hu;nl
ritka ;zeldzaam, raar ;hu;nl
A villamos ritka az USA-ban. ;In de USA zijn de trams raar. ;hu;nl
ritkán ;af en toe ;hu;nl
Ritkán járok autóval. ;Ik ga maar af en toe met de auto. ;hu;nl
rockkoncert ;rockconcert ;hu;nl
Rockkoncertre megyek. ;Ik ga naar een rockconcert. ;hu;nl
sarok ;hoek ;hu;nl
A gyógyszertár a sarkon van. ;De apotheek is op de hoek. ;hu;nl
sehol ;nergens ;hu;nl
Sehol nincs bolt. ;Nergens is er een winkel. ;hu;nl
sehonnan/sehonnét ;van nergens ;hu;nl
sehova/sehová ;naar nergens ;hu;nl
Nem megyek sehova. ;Ik ga nergens naar toe. ;hu;nl
sétál ;wandelen ;hu;nl
Sétálok a parkban. ;Ik wandel in het park. / Ik ga in het park wandelen. ;hu;nl
sör ;bier ;hu;nl
söröző ;kroeg ;hu;nl
sport ;sport ;hu;nl
sportol ;sporten ;hu;nl
Hétvégén sportolok. ;In het weekend sport ik. ;hu;nl
sportolási ;sport ;hu;nl
sportolási lehetőségek ;sportmogelijkheden ;hu;nl
stabilitás ;stabiliteit ;hu;nl
politikai stabilitás ;politieke stabiliteit ;hu;nl
stadion ;stadion ;hu;nl
szálloda ;hotel ;hu;nl
Szállodában alszom. ;Ik slaap in het hotel. ;hu;nl
szavanna ;Savannah ;hu;nl
széles ;breed ;hu;nl
széles folyó ;een brede rivier ;hu;nl
személy ;persoon ;hu;nl
személyes ;persoonlijk ;hu;nl
személyes névmás ;persoonlijk voornaamwoord ;hu;nl
szeminárium ;Seminar, werkcollege ;hu;nl
Szemináriumra megyek. ;Ik ga naar een seminar. ;hu;nl
szerda ;woensdag ;hu;nl
szerdán ;op woensdag ;hu;nl
színház ;theater ;hu;nl
szinonima ;synoniem ;hu;nl
szoba ;kamer ;hu;nl
szombat ;zaterdag ;hu;nl
szombaton ;op zaterdag ;hu;nl
szükséges ;nodig ;hu;nl
táncol ;danst ;hu;nl
tankol ;tanken ;hu;nl
A benzinkúton tankolok. ;Op het tankstation tank ik. ;hu;nl
tart ;duren ;hu;nl
Meddig tart a film? ;Hoe lang duurt het film? ;hu;nl
taxi ;taxi ;hu;nl
Taxival megyek haza. ;Ik ga met de taxi naar huis. ;hu;nl
tegnap ;gisteren ;hu;nl
tegnapelőtt ;eergisteren ;hu;nl
tehát ;dus ;hu;nl
Csütörtökön tehát a konditerembe megyek. ;Dus, ik ga donderdag naar de sportschool. ;hu;nl
templom ;kerk ;hu;nl
tenger ;zee ;hu;nl
tér ;plein ;hu;nl
A Kossuth térre megyek. ;Ik ga naar het Kossuth plein. ;hu;nl
tiszta ;schoon ;hu;nl
A vonat tiszta. ;De trein is schoon. ;hu;nl
tó ;meer ;hu;nl
tőle ;van hem/haar ;hu;nl
tréning ;training ;hu;nl
Tréningen vagyok. ;Ik ben op een training. ;hu;nl
tulajdonképpen ;eigenlijk ;hu;nl
Tulajdonképpen az egész város egy nagy múzeum. ;Eigenlijk is de hele stad één groot museum. ;hu;nl
turista ;toerist ;hu;nl
úszik ;zwemmen ;hu;nl
uszoda ;zwembad ;hu;nl
út ;weg ;hu;nl
utána ;daarna ;hu;nl
útbaigazítás ;wegwijzing ;hu;nl
utolsó ;laatst- ;hu;nl
az utolsó busz ;de laatste bus ;hu;nl
az utolsó magánhangzó ;de laatste medeklinker ;hu;nl
üzlet (= bolt) ;winkel ;hu;nl
vagy ;of ;hu;nl
Színházba vagy moziba mész? ;Ga je naar het theater of naar de bioscoop? ;hu;nl
vagyis ;oftewel ;hu;nl
Pénteken konditerembe megyek. Vagyis nem: pénteken uszodába megyek. ;Vrijdag ga ik naar de sportschool. Of nee: vrijdag ga ik zwemmen. ;hu;nl
valahol ;ergens ;hu;nl
valahonnan/valahonnét ;ergens vandaan ;hu;nl
valahova/valahová ;ergens naar toe ;hu;nl
Mész valahova hétvégén? ;Ga je in het weekend ergens naar toe? ;hu;nl
városközpont (= belváros) ;stadcentrum ;hu;nl
vasárnap ;zondag ;hu;nl
Vasárnap otthon maradok. ;Zondag blijf ik thuis. ;hu;nl
vásárol vmit ;iets kopen ;hu;nl
vasútállomás (= pályaudvar) ;treinstation ;hu;nl
vele ;met hem/haar ;hu;nl
Anna a barátnőm. Vele megyek színházba. ;Anna is mijn vriendin. Met haar ga ik naar het theater. ;hu;nl
veszélyes ;gevaarlijk. ;hu;nl
villamos ;tram ;hu;nl
Villamossal járok iskolába. ;Ik ga altijd met de tram naar school. ;hu;nl
villamosjegy ;tramkaartje ;hu;nl
viszont ;maar, echter ;hu;nl
Nincsenek múzeumok, vannak viszont kitűnő egyetemek. ;Er zijn geen musea maar er zijn wel uitstekende universiteiten. ;hu;nl
víz ;water ;hu;nl
vonat ;trein ;hu;nl
Vonattal megyek Szegedre. ;Ik ga met de trein naar Szeged. ;hu;nl
vulkán ;vulkaan ;hu;nl
zajos ;lawaaierig, rumoerig ;hu;nl
A környék nagyon zajos. ;De omgeving is erg lawaaierig. ;hu;nl
zárva van ;dicht zijn ;hu;nl
A múzeum zárva van. ;Het museum is dicht. ;hu;nl
