#question; answer; questionLocale; answerLocale
nyomtat vmit;iets uitprinten;hu;nl
nyomtató;printer;hu;nl
nyugodt;rustig, relaxed;hu;nl
okos;slim;hu;nl
olcsó;goedkoop;hu;nl
optimista;optimist;hu;nl
öreg;oud, op leeftijd;hu;nl
papír;papier;hu;nl
papír zsebkendő;papieren zakdoek;hu;nl
pénz;geld;hu;nl
pénztárca;portemonnee;hu;nl
persze;natuurlijk, uiteraard;hu;nl
pesszimista;pessimist;hu;nl
piac;markt;hu;nl
probléma;probleem;hu;nl
projektkoordinátor;projectcoördinator;hu;nl
puszi;kusje;hu;nl
régi;oud;hu;nl
régóta;al lang;hu;nl
remek;fantastisch, prachtig;hu;nl
rokonszenves (= szimpatikus);vriendelijk (= sympathiek);hu;nl
Róma;Rome;hu;nl
rossz;slecht, kapot;hu;nl
rosszkedvű;slecht gehumeurd, humeurig;hu;nl
segít vkinek;iemand helpen;hu;nl
senki;niemand;hu;nl
soha;nooit;hu;nl
sok;veel;hu;nl
sovány;mager;hu;nl
sötét;donker;hu;nl
stressz;stress;hu;nl
szakállas;baardig (man met baard);hu;nl
számítógép;computer;hu;nl
számnév;telwoord;hu;nl
szék;stoel;hu;nl
szemüveg;bril;hu;nl
szemüveges;een bril dragend;hu;nl
szimpatikus (= rokonszenves);sympathiek (=vriendelijk);hu;nl
színes;gekleurd, kleurrijk;hu;nl
szkennel vmit;iets scannen;hu;nl
szkenner;scanner;hu;nl
szomorú;verdrietig;hu;nl
szorgalmas;ijverig;hu;nl
tárgy;voorwerp;hu;nl
használati tárgyak;gebruiksvoorwerpen;hu;nl
táska;tas;hu;nl
telefonál;bellen;hu;nl
Később még telefonálok.;Ik bel je nog later.;hu;nl
teniszlabda;tennisbal;hu;nl
teniszütő;tennisracket;hu;nl
terem;zaal;hu;nl
természetes;natuurlijk, normaal;hu;nl
tetszik;leuk;hu;nl
toll;pen;hu;nl
többi;de rest, de andere;hu;nl
tökéletes;perfect;hu;nl
túl;te;hu;nl
tulajdonság;eigenschap;hu;nl
emberi tulajdonságok;menselijke eigenschappen;hu;nl
türelmes;geduldig;hu;nl
türelmetlen;ongeduldig;hu;nl
unalmas;saai;hu;nl
úr;heer, meneer;hu;nl
után;na;hu;nl
van;zijn;hu;nl
vár vkit/vmit;op iemand/iets wachten;hu;nl
vicces;grappig;hu;nl
vidám;vrolijk;hu;nl
videokonferencia;videoconferentie;hu;nl
virág;bloem;hu;nl
vonal;lijn, verbinding;hu;nl
